lattice_type,representation,variant,L,bootstrap,Tc,chi_c
square,vertex,ec,64,107,2.304595598,0.6119136243
square,vertex,ec,64,108,2.306625618,0.6070683136
square,vertex,ec,64,109,2.306022269,0.6051200696
square,vertex,ec,64,110,2.306856986,0.6101528753
square,vertex,ec,64,111,2.305097745,0.6041492401
square,vertex,ec,64,112,2.305851377,0.6118039454
square,vertex,ec,64,113,2.306947534,0.6004457976
square,vertex,ec,64,114,2.305921741,0.6145809369
square,vertex,ec,64,115,2.306977718,0.6074445397
square,vertex,ec,64,116,2.305308712,0.6057358985
square,vertex,ec,64,117,2.306112751,0.6203650769
square,vertex,ec,64,118,2.305730763,0.6086289455
square,vertex,ec,64,119,2.30668597,0.6107750632
square,vertex,ec,64,120,2.306012215,0.6053841649
square,vertex,ec,64,121,2.306887168,0.6052253991
square,vertex,ec,64,122,2.306374184,0.6127946418
square,vertex,ec,64,123,2.305881532,0.6151965759
square,vertex,ec,64,124,2.30668597,0.6128223141
square,vertex,ec,64,125,2.305791068,0.6079667067
square,vertex,ec,64,126,2.306504923,0.6109263657
square,vertex,ec,64,127,2.306635677,0.6144026862
square,vertex,ec,64,128,2.30624346,0.602470469
square,vertex,ec,64,129,2.305951898,0.6097815536
square,vertex,ec,64,130,2.304746219,0.6088680847
square,vertex,ec,64,131,2.305017387,0.6056134213
square,vertex,ec,64,132,2.30587148,0.6090686364
square,vertex,ec,64,133,2.305791068,0.600854947
square,vertex,ec,64,134,2.305439331,0.6066269674
square,vertex,ec,64,135,2.305911689,0.6066882685
square,vertex,ec,64,136,2.306595443,0.6053675387
square,vertex,ec,64,137,2.306112751,0.6054398608
square,vertex,ec,64,138,2.305569963,0.6041951675
square,vertex,ec,64,139,2.305811171,0.6107016172
square,vertex,ec,64,140,2.306152967,0.6049794983
square,vertex,ec,64,141,2.306434523,0.6127101311
square,vertex,ec,64,142,2.304987254,0.607206113
square,vertex,ec,64,143,2.306494866,0.6059759701
square,vertex,ec,64,144,2.30651498,0.6104587329
square,vertex,ec,64,145,2.305891584,0.6044788691
square,vertex,ec,64,146,2.305368996,0.6066991477
square,vertex,ec,64,147,2.30497721,0.6056771655
square,vertex,ec,64,148,2.306303792,0.6097443424
square,vertex,ec,64,149,2.306394297,0.598023096
square,vertex,ec,64,150,2.307360119,0.6082810925
square,vertex,ec,64,151,2.30567046,0.6175448303
square,vertex,ec,64,152,2.306484808,0.6021464209
square,vertex,ec,64,153,2.30620324,0.6070091277
square,vertex,ec,64,154,2.305972004,0.6081519943
square,vertex,ec,64,155,2.306022269,0.6120157446
square,vertex,ec,64,156,2.305891584,0.6016042101
square,vertex,ec,64,157,2.30510779,0.6085283739
square,vertex,ec,64,158,2.30668597,0.6061643987
square,vertex,ec,64,159,2.306484808,0.6077281759
square,vertex,ec,64,160,2.30565036,0.6116898531
square,vertex,ec,64,161,2.305419234,0.6119876416
square,vertex,ec,64,162,2.306012215,0.6043989845
square,vertex,ec,64,163,2.305569963,0.6115317473
square,vertex,ec,64,164,2.305238386,0.5966752195
square,vertex,ec,64,165,2.305198201,0.6157770388
square,vertex,ec,64,166,2.305047521,0.6144959451
square,vertex,ec,64,167,2.305559914,0.6084962601
square,vertex,ec,64,168,2.306645735,0.6150710482
square,vertex,ec,64,169,2.305931793,0.6085305763
square,vertex,ec,64,170,2.306062482,0.5966212602
square,vertex,ec,64,171,2.306595443,0.5911486737
square,vertex,ec,64,172,2.305841325,0.6037569224
square,vertex,ec,64,173,2.305489572,0.6108356911
square,vertex,ec,64,174,2.30633396,0.6085404943
square,vertex,ec,64,175,2.304997298,0.601094007
square,vertex,ec,64,176,2.306092643,0.6074833079
square,vertex,ec,64,177,2.306142913,0.6037825072
square,vertex,ec,64,178,2.305368996,0.6117976335
square,vertex,ec,64,179,2.305881532,0.6065290947
square,vertex,ec,64,180,2.306585385,0.6043091737
square,vertex,ec,64,181,2.305791068,0.6057635921
square,vertex,ec,64,182,2.306957595,0.6087429227
square,vertex,ec,64,183,2.305700611,0.6068811568
square,vertex,ec,64,184,2.306424467,0.6091817179
square,vertex,ec,64,185,2.305278572,0.6148957489
square,vertex,ec,64,186,2.306092643,0.6212534832
square,vertex,ec,64,187,2.305529767,0.6113362283
square,vertex,ec,64,188,2.307259475,0.6099283562
square,vertex,ec,64,189,2.305519718,0.6131731852
square,vertex,ec,64,190,2.305951898,0.6073026064
square,vertex,ec,64,191,2.305911689,0.6151662914
square,vertex,ec,64,192,2.305198201,0.6046105465
square,vertex,ec,64,193,2.305750864,0.6119616057
square,vertex,ec,64,194,2.305569963,0.6039401087
square,vertex,ec,64,195,2.304937034,0.6049772416
square,vertex,ec,64,196,2.30564031,0.6068147291
square,vertex,ec,64,197,2.306112751,0.6120186372
square,vertex,ec,64,198,2.306062482,0.6025400404
square,vertex,ec,64,199,2.305509669,0.6046329555
square,vertex,ec,96,0,2.292768882,1.153791916
square,vertex,ec,96,1,2.292568401,1.166338524
square,vertex,ec,96,2,2.292919267,1.159217611
square,vertex,ec,96,3,2.293190008,1.145477477
square,vertex,ec,96,4,2.292929293,1.167932563
square,vertex,ec,96,5,2.293490907,1.152752129
square,vertex,ec,96,6,2.293200037,1.160580922
square,vertex,ec,96,7,2.292518286,1.15923421
square,vertex,ec,96,8,2.292578424,1.163043959
square,vertex,ec,96,9,2.292438106,1.137855031
square,vertex,ec,96,10,2.293280269,1.158901801
square,vertex,ec,96,11,2.292949346,1.164135273
square,vertex,ec,96,12,2.29327024,1.151706938
square,vertex,ec,96,13,2.29240804,1.15824716
square,vertex,ec,96,14,2.292658613,1.153446558
square,vertex,ec,96,15,2.293531033,1.139018691
square,vertex,ec,96,16,2.292658613,1.150884279
square,vertex,ec,96,17,2.292558377,1.149897021
square,vertex,ec,96,18,2.292688685,1.165527272
square,vertex,ec,96,19,2.292819008,1.1581146
square,vertex,ec,96,20,2.293099754,1.155865944
square,vertex,ec,96,21,2.292899214,1.172942342
square,vertex,ec,96,22,2.293200037,1.157296991
square,vertex,ec,96,23,2.291987202,1.170377585
square,vertex,ec,96,24,2.293049616,1.153679459
square,vertex,ec,96,25,2.293480876,1.166042046
square,vertex,ec,96,26,2.292478195,1.156191102
square,vertex,ec,96,27,2.292538331,1.157962277
square,vertex,ec,96,28,2.293049616,1.159411948
square,vertex,ec,96,29,2.293029561,1.160108274
square,vertex,ec,96,30,2.293240152,1.14669393
square,vertex,ec,96,31,2.292508263,1.160211093
