lattice_type,representation,variant,L_min,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
triangular,vertex,ec,64,12,3.641118322,9.043857984e-05,5.007279824,0.3562585271,0.9360602572,0.01305915677,22.88605815,9,2.54289535,0.006457348952,31.88605815,,,12.91947487
triangular,vertex,ec,96,11,3.640940326,0.0001125482004,3.857879525,0.4152058893,0.9811755353,0.02048202654,12.71935528,8,1.58991941,0.121877463,22.14792671,1.857280059,-1.232813591,3.181343433
triangular,vertex,ec,128,10,3.640852678,0.0001332461146,3.364308163,0.4873898067,1.005831247,0.02801199399,10.76050231,7,1.537214616,0.1494123341,20.76050231,0.710511142,-0.5025166686,1.793919036
triangular,vertex,ec,192,9,3.640775834,0.0001640650543,2.966442881,0.5986084934,1.029115816,0.03962758412,9.96658715,6,1.661097858,0.1260661776,20.76658715,0.47981207,-0.3635743156,1.800003876
triangular,vertex,ec,256,8,3.640612094,0.0002074479263,2.22523677,0.5861730801,1.084783776,0.05622855465,6.966583274,5,1.393316655,0.2231374399,18.96658327,0.809250783,-0.6190894783,0
triangular,vertex,ec,384,7,3.640749545,0.0002572508242,2.942470117,1.333133198,1.032239657,0.08310510873,6.336045839,4,1.58401146,0.1754184325,20.33604584,-0.523660905,0.4159214239,1.369462565
triangular,vertex,ec,512,6,3.641102974,0.0002416803708,8.585463322,5.96515896,0.8766060055,0.08744798437,1.884506145,3,0.628168715,0.596720298,19.88450614,-1.290084488,1.001301364,0.9179228712
triangular,vertex,ec,768,5,3.641398349,0.0002732162507,40.59621574,62.18474903,0.7248760396,0.1242437341,0.5636418389,2,0.2818209194,0.7544087724,30.56364184,-0.9986632506,0.8097594011,11.59705857
