lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,vertex,m,64,3072,12,2.269152826,8.388144044e-05,2.050698113,0.1735086465,1.000782841,0.01838826312,8.291758863,9,0.9213065403,0.5050324188,17.29175886,,,0.8255756341
square,vertex,m,96,3072,11,2.269193809,9.256395806e-05,2.215475476,0.2602731765,0.9857931462,0.02369333477,7.356369728,8,0.919546216,0.4987158316,16.78494116,-0.4997946843,0.3280829068,0.3187579275
square,vertex,m,128,3072,10,2.269225221,0.00010105197,2.386383514,0.3778293285,0.972428281,0.02977623519,6.848054573,7,0.9782935104,0.4448701433,16.84805457,-0.3512210653,0.2292193786,0.3818713436
square,vertex,m,192,3072,9,2.269258263,0.0001178986321,2.628128128,0.6520958277,0.9562504249,0.04268087841,6.581560302,6,1.096926717,0.3612814398,17.3815603,-0.3108665984,0.2127950465,0.9153770728
square,vertex,m,256,3072,8,2.269369254,0.0001276231051,4.134916914,1.655770387,0.8901825306,0.05629021777,4.466183229,5,0.8932366458,0.4844207164,16.46618323,-0.9352538148,0.6388079918,0
square,vertex,m,384,3072,7,2.269313217,0.0001796799418,3.144765163,2.117787727,0.9278695117,0.09916810068,4.198975382,4,1.049743846,0.3797466898,18.19897538,0.3304998187,-0.2542603633,1.732792153
square,vertex,m,512,3072,6,2.269325335,0.0002341549111,3.373439893,3.758619246,0.9182445096,0.1548290803,4.191823894,3,1.397274631,0.2414817443,22.19182389,-0.05234818793,0.04105812279,5.725640665
