lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,vertex,ec,64,3072,12,2.269284871,7.553378429e-05,3.190544025,0.2559918404,0.9308782497,0.01503325993,7.547769949,9,0.8386411055,0.5802812346,16.54776995,,,0.09852322935
square,vertex,ec,96,3072,11,2.269280343,8.521144521e-05,3.16085089,0.3592114089,0.9324703397,0.02039809315,7.534172383,8,0.9417715479,0.4802417478,16.96274381,0.06283081121,-0.03976613364,0.5134970922
square,vertex,ec,128,3072,10,2.269285752,9.444354269e-05,3.204312115,0.494283162,0.9302506558,0.02642811555,7.516797537,7,1.07382822,0.3771206708,17.51679754,-0.06648837887,0.0425248743,1.067550817
square,vertex,ec,192,3072,9,2.269271925,0.0001132960034,3.07385486,0.7313412901,0.9367829621,0.03927403431,7.462437163,6,1.243739527,0.2801877466,18.26243716,0.1379925943,-0.09374468379,1.813190443
square,vertex,ec,256,3072,8,2.269396905,0.0001204860113,5.19213675,2.003154271,0.8642113977,0.05104558814,4.44924672,5,0.889849344,0.4867026363,16.44924672,-1.126786876,0.755682847,0
square,vertex,ec,384,3072,7,2.26932235,0.000174198452,3.568393189,2.358077042,0.9134610403,0.0941140447,3.943696333,4,0.9859240832,0.4136793472,17.94369633,0.4599937586,-0.3519969616,1.494449613
square,vertex,ec,512,3072,6,2.269333421,0.0002267219053,3.807993685,4.15238769,0.9048268756,0.1469079113,3.937289447,3,1.312429816,0.2683158443,21.93728945,-0.04948828107,0.03872108893,5.488042727
