lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,vertex,m,64,2048,11,2.268933781,0.0001346769153,1.832934704,0.1789286258,1.028372845,0.0230482284,3.441814529,8,0.4302268162,0.903658207,12.87038596,,,0
square,vertex,m,96,2048,10,2.268959094,0.0001558700254,1.890356343,0.2629716728,1.021761439,0.03102612387,3.344690182,7,0.4778128831,0.8513915524,13.34469018,-0.1710572964,0.1228845497,0.4743042239
square,vertex,m,128,2048,9,2.268971721,0.000177926865,1.926121027,0.3674387929,1.017959003,0.04053906194,3.324198234,6,0.5540330389,0.767193143,14.12419823,-0.07448548465,0.05338298624,1.253812276
square,vertex,m,192,2048,8,2.268944756,0.0002274209633,1.837141584,0.5639969556,1.027246307,0.06308189141,3.28603464,5,0.657206928,0.6559804415,15.28603464,0.1238555883,-0.09338435837,2.415648682
square,vertex,m,256,2048,7,2.269091225,0.0002610907058,2.584128694,1.308995696,0.966747862,0.08694608612,2.606902306,4,0.6517255765,0.6256008986,16.60690231,-0.5631980225,0.42301545,3.736516348
square,vertex,m,384,2048,6,2.268664267,0.0005199799964,0.9506067854,0.8321932205,1.164310022,0.215315576,0.8531632416,3,0.2843877472,0.8367132922,18.85316324,0.8507993248,-0.733797086,5.982777284
