lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,vertex,ec,64,2048,11,2.269156774,0.0001191337853,2.980711725,0.2754787167,0.9450489382,0.01830799972,5.519107801,8,0.6898884751,0.7009221029,14.94767923,,,0
square,vertex,ec,96,2048,10,2.269113015,0.0001416717469,2.809972749,0.3787331972,0.9558575704,0.0261008954,5.167037664,7,0.7381482378,0.6395870198,15.16703766,0.3390236168,-0.2363991694,0.2193584349
square,vertex,ec,128,2048,9,2.269085224,0.00016478579,2.687718504,0.5014879922,0.9638182877,0.03530437083,5.051500917,6,0.8419168194,0.5372249326,15.85150092,0.1813165763,-0.1278878279,0.9038216871
square,vertex,ec,192,2048,8,2.268971988,0.0002188423109,2.188233029,0.6470617349,1.001007361,0.05762810844,4.270174686,5,0.8540349373,0.5112086256,16.27017469,0.5502764865,-0.4133513494,1.322495457
square,vertex,ec,256,2048,7,2.269161226,0.0002426700591,3.458424832,1.695245693,0.9255366433,0.07683527834,2.968680081,4,0.7421700202,0.5630803219,16.96868008,-0.7857842574,0.5791114768,2.021000851
square,vertex,ec,384,2048,6,2.268709912,0.000494396739,1.132986566,0.9790621401,1.129203791,0.1988654764,0.7799950892,3,0.2599983631,0.854245715,18.77999509,0.955319409,-0.8194643557,3.83231586
