lattice_type,variant,L,bootstrap,Tc
triangular,ec,64,187,3.699861893
triangular,ec,64,188,3.698572401
triangular,ec,64,189,3.700812094
triangular,ec,64,190,3.699661913
triangular,ec,64,191,3.700902138
triangular,ec,64,192,3.699811896
triangular,ec,64,193,3.700021893
triangular,ec,64,194,3.698302621
triangular,ec,64,195,3.700321929
triangular,ec,64,196,3.699951891
triangular,ec,64,197,3.699272014
triangular,ec,64,198,3.70055199
triangular,ec,64,199,3.69968191
triangular,ec,96,0,3.677467512
triangular,ec,96,1,3.678567834
triangular,ec,96,2,3.679208325
triangular,ec,96,3,3.677767534
triangular,ec,96,4,3.677957574
triangular,ec,96,5,3.679398513
triangular,ec,96,6,3.677207532
triangular,ec,96,7,3.679458577
triangular,ec,96,8,3.678157637
triangular,ec,96,9,3.680319705
triangular,ec,96,10,3.678547822
triangular,ec,96,11,3.678257677
triangular,ec,96,12,3.677937569
triangular,ec,96,13,3.677297521
triangular,ec,96,14,3.677967577
triangular,ec,96,15,3.677617517
triangular,ec,96,16,3.678637877
triangular,ec,96,17,3.6780476
triangular,ec,96,18,3.679498621
triangular,ec,96,19,3.678777971
triangular,ec,96,20,3.677707526
triangular,ec,96,21,3.678627871
triangular,ec,96,22,3.678177645
triangular,ec,96,23,3.678968115
triangular,ec,96,24,3.677397514
triangular,ec,96,25,3.677927567
triangular,ec,96,26,3.677267524
triangular,ec,96,27,3.67646779
triangular,ec,96,28,3.678057603
triangular,ec,96,29,3.679048181
triangular,ec,96,30,3.677627518
triangular,ec,96,31,3.678077609
triangular,ec,96,32,3.678057603
triangular,ec,96,33,3.677487512
triangular,ec,96,34,3.67721753
triangular,ec,96,35,3.67730752
triangular,ec,96,36,3.677367515
triangular,ec,96,37,3.678928083
triangular,ec,96,38,3.679999238
triangular,ec,96,39,3.678307699
triangular,ec,96,40,3.677197533
triangular,ec,96,41,3.678567834
triangular,ec,96,42,3.676887607
triangular,ec,96,43,3.677837547
triangular,ec,96,44,3.678537817
triangular,ec,96,45,3.677607516
triangular,ec,96,46,3.678027594
triangular,ec,96,47,3.678127626
triangular,ec,96,48,3.678998139
triangular,ec,96,49,3.679188306
triangular,ec,96,50,3.679288402
triangular,ec,96,51,3.679288402
triangular,ec,96,52,3.678427757
triangular,ec,96,53,3.678437762
triangular,ec,96,54,3.677837547
triangular,ec,96,55,3.676967583
triangular,ec,96,56,3.678727936
triangular,ec,96,57,3.678667896
triangular,ec,96,58,3.677927567
triangular,ec,96,59,3.676797638
triangular,ec,96,60,3.679899104
triangular,ec,96,61,3.678467778
triangular,ec,96,62,3.678427757
triangular,ec,96,63,3.678307699
triangular,ec,96,64,3.677627518
triangular,ec,96,65,3.678247673
triangular,ec,96,66,3.677807541
triangular,ec,96,67,3.676557742
triangular,ec,96,68,3.678737943
triangular,ec,96,69,3.678167641
triangular,ec,96,70,3.678677903
triangular,ec,96,71,3.678407746
triangular,ec,96,72,3.678387736
triangular,ec,96,73,3.678807992
triangular,ec,96,74,3.679728888
triangular,ec,96,75,3.678988131
triangular,ec,96,76,3.678427757
triangular,ec,96,77,3.679038173
triangular,ec,96,78,3.678177645
triangular,ec,96,79,3.676657695
triangular,ec,96,80,3.678988131
triangular,ec,96,81,3.67813763
triangular,ec,96,82,3.678757957
triangular,ec,96,83,3.676687682
triangular,ec,96,84,3.678527811
triangular,ec,96,85,3.679258373
triangular,ec,96,86,3.678617865
triangular,ec,96,87,3.67828769
triangular,ec,96,88,3.678157637
triangular,ec,96,89,3.679158278
triangular,ec,96,90,3.678267681
triangular,ec,96,91,3.677867553
triangular,ec,96,92,3.677827545
triangular,ec,96,93,3.678167641
triangular,ec,96,94,3.677297521
triangular,ec,96,95,3.679498621
triangular,ec,96,96,3.679969197
triangular,ec,96,97,3.678297694
triangular,ec,96,98,3.678477783
triangular,ec,96,99,3.678938091
triangular,ec,96,100,3.678307699
triangular,ec,96,101,3.67963878
triangular,ec,96,102,3.676547748
triangular,ec,96,103,3.678547822
triangular,ec,96,104,3.67874795
triangular,ec,96,105,3.677897559
triangular,ec,96,106,3.679158278
triangular,ec,96,107,3.678467778
triangular,ec,96,108,3.678757957
triangular,ec,96,109,3.677297521
triangular,ec,96,110,3.679458577
triangular,ec,96,111,3.679028164
triangular,ec,96,112,3.677927567
triangular,ec,96,113,3.678237668
triangular,ec,96,114,3.678127626
triangular,ec,96,115,3.678417751
triangular,ec,96,116,3.678307699
triangular,ec,96,117,3.678737943
triangular,ec,96,118,3.679788962
triangular,ec,96,119,3.679678827
triangular,ec,96,120,3.678067606
triangular,ec,96,121,3.678908067
triangular,ec,96,122,3.678497794
triangular,ec,96,123,3.678627871
triangular,ec,96,124,3.677837547
triangular,ec,96,125,3.679418534
triangular,ec,96,126,3.678277685
triangular,ec,96,127,3.677717527
triangular,ec,96,128,3.6785078
triangular,ec,96,129,3.679038173
triangular,ec,96,130,3.678367727
triangular,ec,96,131,3.676337866
triangular,ec,96,132,3.678547822
triangular,ec,96,133,3.678547822
triangular,ec,96,134,3.677677523
triangular,ec,96,135,3.676917597
triangular,ec,96,136,3.678277685
triangular,ec,96,137,3.678187648
triangular,ec,96,138,3.679538665
triangular,ec,96,139,3.678237668
triangular,ec,96,140,3.678177645
triangular,ec,96,141,3.677457512
triangular,ec,96,142,3.6780476
triangular,ec,96,143,3.678597852
triangular,ec,96,144,3.678647883
triangular,ec,96,145,3.677967577
triangular,ec,96,146,3.678627871
triangular,ec,96,147,3.678757957
triangular,ec,96,148,3.678687909
triangular,ec,96,149,3.67821766
triangular,ec,96,150,3.679378493
triangular,ec,96,151,3.678197652
triangular,ec,96,152,3.677457512
triangular,ec,96,153,3.678417751
triangular,ec,96,154,3.677937569
triangular,ec,96,155,3.677467512
triangular,ec,96,156,3.677987582
triangular,ec,96,157,3.678237668
triangular,ec,96,158,3.677507512
