lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,cell,m,64,2048,11,2.268933719,0.0001346729525,1.83291697,0.1789255606,1.02837869,0.02304806594,3.443337194,8,0.4304171492,0.9035424792,12.87190862,,,0
square,cell,m,96,2048,10,2.268959114,0.0001558665328,1.890509251,0.2629674,1.021747441,0.03102327454,3.345604931,7,0.4779435616,0.8512980614,13.34560493,-0.171581273,0.1232829928,0.4736963091
square,cell,m,128,2048,9,2.26897188,0.0001778586184,1.926659675,0.3672541219,1.017904602,0.04050771899,3.324611129,6,0.5541018548,0.7671390348,14.12461113,-0.07531621648,0.0539788391,1.252702507
square,cell,m,192,2048,8,2.268944753,0.0002274132619,1.837132665,0.5639873153,1.027247303,0.06307900208,3.28603464,5,0.657206928,0.6559804415,15.28603464,0.1246265567,-0.09395903144,2.414126018
square,cell,m,256,2048,7,2.269091249,0.000261093568,2.584259984,1.309131286,0.9667391564,0.08694885399,2.60690231,4,0.6517255775,0.6256008979,16.60690231,-0.563285487,0.4230982319,3.734993688
square,cell,m,384,2048,6,2.268664262,0.0005199495395,0.9505987045,0.8321382042,1.164312101,0.2153036364,0.8531632414,3,0.2843877471,0.8367132923,18.85316324,0.8508825352,-0.733879779,5.981254619
