lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,cell,ec,64,2048,11,2.269156749,0.0001191269161,2.980692095,0.2754727055,0.9450514065,0.01830750241,5.519145371,8,0.6898931714,0.7009179369,14.9477168,,,0
square,cell,ec,96,2048,10,2.269113031,0.0001416695717,2.810153975,0.3787162094,0.9558477407,0.02609885004,5.167761903,7,0.7382517004,0.6394987537,15.1677619,0.3386586971,-0.2361901559,0.2200451032
square,cell,ec,128,2048,9,2.269085428,0.0001647108511,2.68875062,0.5012344236,0.9637514613,0.03527250493,5.053496364,6,0.8422493939,0.5369703689,15.85349636,0.180128495,-0.1270523665,0.905779564
square,cell,ec,192,2048,8,2.268971986,0.0002188441097,2.18822779,0.6470721855,1.001007811,0.05762781318,4.270174686,5,0.8540349373,0.5112086256,16.27017469,0.5514097777,-0.4141679359,1.322457887
square,cell,ec,256,2048,7,2.269161256,0.0002426760466,3.458651844,1.695410168,0.9255263786,0.07683773129,2.968680085,4,0.7421700212,0.5630803212,16.96868008,-0.7858812035,0.57919618,2.020963285
square,cell,ec,384,2048,6,2.26870991,0.0004945017602,1.132982348,0.9792411738,1.129204648,0.1989038439,0.7799950893,3,0.2599983631,0.854245715,18.77999509,0.9552072625,-0.8193777461,3.83227829
