lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,cell,ec,64,3072,12,2.269284854,7.553100867e-05,3.190544364,0.2559861184,0.9308798426,0.01503290507,7.548340796,9,0.8387045328,0.5802224013,16.5483408,,,0.09909407578
square,cell,ec,96,3072,11,2.269280355,8.521135122e-05,3.161053937,0.359192295,0.9324611005,0.02039619385,7.534912666,8,0.9418640832,0.4801655062,16.96348409,0.06240761454,-0.03950955777,0.5142373747
square,cell,ec,128,3072,10,2.269285804,9.441657603e-05,3.204832247,0.4939480717,0.9302254971,0.02640784442,7.517183906,7,1.073883415,0.3770835483,17.51718391,-0.06699976144,0.04283801681,1.067937186
square,cell,ec,192,3072,9,2.269271925,0.0001132960034,3.07385486,0.7313412901,0.9367829621,0.03927403431,7.462437163,6,1.243739527,0.2801877466,18.26243716,0.138557179,-0.09410558629,1.813190443
square,cell,ec,256,3072,8,2.269396905,0.0001204860113,5.19213675,2.003154271,0.8642113977,0.05104558814,4.44924672,5,0.889849344,0.4867026363,16.44924672,-1.126786876,0.755682847,0
square,cell,ec,384,3072,7,2.26932235,0.000174198452,3.568393189,2.358077042,0.9134610403,0.0941140447,3.943696333,4,0.9859240832,0.4136793472,17.94369633,0.4599937586,-0.3519969616,1.494449613
square,cell,ec,512,3072,6,2.269333421,0.0002267219053,3.807993685,4.15238769,0.9048268756,0.1469079113,3.937289447,3,1.312429816,0.2683158443,21.93728945,-0.04948828107,0.03872108893,5.488042727
