lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,cell,m,64,3072,12,2.269152786,8.388141545e-05,2.050702657,0.1735082506,1.000786382,0.01838828679,8.294994484,9,0.9216660538,0.5047130045,17.29499448,,,0.8288112549
square,cell,m,96,3072,11,2.269193828,9.256521254e-05,2.215666385,0.2602698506,0.9857791849,0.02369143014,7.357322187,8,0.9196652733,0.4986160315,16.78589362,-0.5004031354,0.328553145,0.3197103863
square,cell,m,128,3072,10,2.269225247,0.0001010262646,2.386573172,0.3775708566,0.9724148493,0.02975597763,6.847291149,7,0.9781844499,0.4449513306,16.84729115,-0.3513644537,0.2292985176,0.3811079205
square,cell,m,192,3072,9,2.269258263,0.0001178986321,2.628128128,0.6520958277,0.9562504249,0.04268087841,6.581560302,6,1.096926717,0.3612814398,17.3815603,-0.3106776783,0.2126472135,0.9153770728
square,cell,m,256,3072,8,2.269369254,0.0001276231051,4.134916914,1.655770387,0.8901825306,0.05629021777,4.466183229,5,0.8932366458,0.4844207164,16.46618323,-0.9352538148,0.6388079918,0
square,cell,m,384,3072,7,2.269313217,0.0001796799418,3.144765163,2.117787727,0.9278695117,0.09916810068,4.198975382,4,1.049743846,0.3797466898,18.19897538,0.3304998187,-0.2542603633,1.732792153
square,cell,m,512,3072,6,2.269325335,0.0002341549111,3.373439893,3.758619246,0.9182445096,0.1548290803,4.191823894,3,1.397274631,0.2414817443,22.19182389,-0.05234818793,0.04105812279,5.725640665
