lattice_type,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
triangular,ec,64,2048,11,3.641125125,0.0001444907209,4.865074342,0.4050279045,0.9394904771,0.01595593029,4.433738794,8,0.5542173493,0.8160251483,13.86231022,,,0.09805192102
triangular,ec,96,2048,10,3.641051828,0.0001734161456,4.505511112,0.5655204571,0.9529220692,0.02339987935,3.764258302,7,0.5377511859,0.8064945852,13.7642583,0.4742428221,-0.3247225303,0
triangular,ec,128,2048,9,3.64108678,0.000198309232,4.704031499,0.8310287754,0.9456101095,0.03111016394,3.644284478,6,0.6073807464,0.7246847421,14.44428448,-0.187832453,0.1326766763,0.6800261768
triangular,ec,192,2048,8,3.641112762,0.000246444034,4.880079658,1.349122149,0.9396226782,0.04611963703,3.61476989,5,0.7229539781,0.6060970321,15.61476989,-0.1076266482,0.08213787694,1.850511589
triangular,ec,256,2048,7,3.640913086,0.0003257969636,3.55929999,1.372264836,0.9919864485,0.07001000917,2.226042688,4,0.5565106721,0.6942643354,16.22604269,0.6246000082,-0.4887955506,2.461784387
triangular,ec,384,2048,6,3.641221639,0.0003907148266,6.467704456,4.598336011,0.9001535605,0.1006382916,1.208355859,3,0.4027852864,0.751000937,19.20835586,-0.7490769807,0.6065209704,5.444097558
