lattice_type,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
triangular,ec,64,3072,12,3.641156889,0.000109969637,4.924408121,0.3717187683,0.9369927992,0.01413189865,4.549860946,9,0.5055401051,0.8716526703,13.54986095,,,0.06422111134
triangular,ec,96,3072,11,3.641113959,0.0001277061535,4.650673427,0.5176884958,0.9466791315,0.02010305204,4.057068406,8,0.5071335507,0.8519381685,13.48563983,0.3941824201,-0.2547332272,0
triangular,ec,128,3072,10,3.641145497,0.0001424765919,4.888483943,0.7506196611,0.9385350444,0.02614362014,3.833426986,7,0.5476324266,0.7987511164,13.83342699,-0.2469468561,0.1648341303,0.347787152
triangular,ec,192,3072,9,3.641174571,0.0001687745007,5.154569565,1.188502816,0.9302477775,0.03700615251,3.738256584,6,0.6230427641,0.7120473244,14.53825658,-0.1829038117,0.1316327134,1.05261675
triangular,ec,256,3072,8,3.641074561,0.0002066790212,4.174700654,1.302773617,0.9629758264,0.05221929107,2.711232243,5,0.5422464487,0.7443999869,14.71123224,0.5113564347,-0.3748007239,1.225592409
triangular,ec,384,3072,7,3.64127335,0.0002372828315,7.014152207,3.7538719,0.8885768613,0.07239576685,1.237128338,4,0.3092820844,0.8719486642,15.23712834,-0.8334742618,0.6317314059,1.751488503
triangular,ec,512,3072,6,3.64129554,0.0003020835956,7.596247533,6.703867554,0.8785712594,0.1121046044,1.224476797,3,0.4081589322,0.7471399488,19.2244768,-0.07497706906,0.05776738966,5.738836962
