lattice_type,representation,variant,L_min,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
square,vertex,m,64,12,2.269152823,8.388346196e-05,2.050691313,0.173510932,1.000783557,0.01838862093,8.291758863,9,0.9213065403,0.5050324188,17.29175886,,,0.8255756425
square,vertex,m,96,11,2.269193813,9.256463866e-05,2.215490992,0.2602784997,0.9857917397,0.02369384616,7.356369727,8,0.9195462159,0.4987158316,16.78494116,-0.4998550671,0.3281353289,0.318757936
square,vertex,m,128,10,2.269225221,0.0001010546284,2.386386911,0.3778340028,0.9724280132,0.02977614098,6.848054573,7,0.9782935104,0.4448701433,16.84805457,-0.3511888837,0.2291877643,0.3818713526
square,vertex,m,192,9,2.269258267,0.0001178968624,2.628150948,0.6520850785,0.9562489369,0.04267965739,6.581560302,6,1.096926717,0.3612814398,17.3815603,-0.3108963492,0.2128124217,0.9153770818
square,vertex,m,256,8,2.269369261,0.000127604945,4.135019107,1.655842466,0.8901790608,0.05628353166,4.46618322,5,0.893236644,0.4844207176,16.46618322,-0.9353621794,0.6388808584,0
square,vertex,m,384,7,2.269313227,0.0001797038321,3.144897159,2.117653622,0.9278633375,0.09917728943,4.198975381,4,1.049743845,0.37974669,18.19897538,0.3304625065,-0.2542344802,1.732792161
square,vertex,m,512,6,2.269325258,0.0002341962646,3.372132205,3.756969986,0.9182983571,0.1548499497,4.191823804,3,1.397274601,0.2414817534,22.1918238,-0.05201536967,0.04075570188,5.725640584
square,vertex,m,768,5,2.269631948,0.0001963786915,78.46678184,201.7121144,0.63538091,0.1597564257,1.761784034,2,0.880892017,0.4144130833,31.76178403,-1.271611364,1.003452919,15.29560081
