lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
triangular,vertex,ec,128,2048,9,3.640747543,0.0002322885251,3.158450961,0.5727109166,1.019251026,0.03720907678,10.44957482,6,1.741595804,0.1069519499,21.24957482,,,3.142774869
triangular,vertex,ec,192,2048,8,3.640523784,0.0003148358902,2.479298204,0.6590069968,1.068342093,0.05830313742,8.989874427,5,1.797974885,0.1094687152,20.98987443,0.7097693884,-0.5719018752,2.883074474
triangular,vertex,ec,256,2048,7,3.640022935,0.0004606070106,1.460683377,0.5195594786,1.191044232,0.09598898283,4.106799953,4,1.026699988,0.3917449611,18.10679995,1.092547971,-0.8977002658,0
triangular,vertex,ec,384,2048,6,3.639996557,0.0006981611996,1.419761347,0.9334489098,1.198266186,0.1718133633,4.103951118,3,1.367983706,0.2504558592,22.10395112,0.03669527347,-0.03153693726,3.997151165
