lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
triangular,vertex,ec,128,3072,10,3.640852673,0.0001332498643,3.364288839,0.4873932856,1.005832351,0.02801248866,10.76050231,7,1.537214616,0.1494123341,20.76050231,,,1.793919023
triangular,vertex,ec,192,3072,9,3.640775835,0.0001640678126,2.96644999,0.5986166104,1.029115347,0.03962820025,9.966587149,6,1.661097858,0.1260661776,20.76658715,0.4797718502,-0.3635369447,1.800003861
triangular,vertex,ec,256,3072,8,3.640612115,0.0002074330845,2.225302205,0.5861630521,1.08477752,0.05622495567,6.966583288,5,1.393316658,0.2231374388,18.96658329,0.809197099,-0.6190390103,0
triangular,vertex,ec,384,3072,7,3.640749558,0.0002572207456,2.942539826,1.333026816,1.032235318,0.08309599213,6.336045836,4,1.584011459,0.1754184327,20.33604584,-0.5236917297,0.4159365796,1.369462548
triangular,vertex,ec,512,3072,6,3.641102969,0.0002416634792,8.585333591,5.964581001,0.8766079133,0.08744394176,1.884506144,3,0.6281687148,0.5967202981,19.88450614,-1.290131214,1.001346481,0.9179228562
