lattice_type,representation,variant,L_min,L_max,n_points,Tc_inf,dTc_inf,A,dA,nu,dnu,chi2,dof,chi2_red,p_value,AIC,dnu_sigma,dTc_inf_sigma,delta_AIC
triangular,vertex,m,96,3072,11,3.640792792,0.000124239343,2.7220447,0.3084437942,1.039380151,0.02422792735,10.45374946,8,1.306718682,0.2346108877,19.88232089,,,0.4026183556
triangular,vertex,m,128,3072,10,3.640751754,0.0001437861359,2.564574756,0.3839348472,1.05129486,0.03172915815,10.08470973,7,1.440672818,0.1838236567,20.08470973,0.2984528989,-0.2159620851,0.6050071966
triangular,vertex,m,192,3072,9,3.640708151,0.0001743115706,2.396700598,0.496607286,1.064880049,0.04371187819,9.861124421,6,1.643520737,0.1306235194,20.66112442,0.2515142726,-0.192964792,1.18142189
triangular,vertex,m,256,3072,8,3.640551355,0.000220567806,1.842121071,0.4992741507,1.119467779,0.06181468785,7.479702531,5,1.495940506,0.1873376309,19.47970253,0.7210246798,-0.5577308276,0
triangular,vertex,m,384,3072,7,3.640723512,0.0002661953636,2.581143915,1.184742645,1.052496393,0.08778770024,6.562721,4,1.64068025,0.1608811047,20.562721,-0.6237596536,0.4979903435,1.083018469
triangular,vertex,m,512,3072,6,3.641098341,0.0002459956301,7.930281576,5.61274683,0.8844985622,0.09074903802,1.883605734,3,0.6278685779,0.59691251,19.88360573,-1.330550435,1.034138543,0.4039032026
